order_id,user_id,order_ts,subtotal,discount,tax,shipping,total,status,coupon_code,utm_source,utm_campaign
17,U004511,2025-10-16T05:50:57,415.72,19.88,34.3,0.91,431.05,fulfilled,WELCOME,google,google_campaign_3
18,U004479,2025-10-16T10:59:57,346.66,51.31,28.6,9.4,333.35,fulfilled,VIP,facebook,facebook_campaign_1
19,U000098,2025-10-17T00:03:11,144.7,22.03,11.94,5.15,139.76,refunded,VIP,affiliate,affiliate_campaign_2
20,U003434,2025-10-16T15:11:59,567.84,54.63,46.85,2.26,562.32,placed,FREESHIP,affiliate,affiliate_campaign_3
21,U002326,2025-10-16T09:10:16,195.88,10.92,16.16,9.81,210.93,fulfilled,SAVE10,tiktok,tiktok_campaign_6
22,U002543,2025-10-16T08:11:12,324.75,5.33,26.79,7.76,353.97,fulfilled,WELCOME,affiliate,affiliate_campaign_6
23,U001452,2025-10-16T04:57:51,267.35,2.3,22.06,7.62,294.73,fulfilled,,affiliate,affiliate_campaign_6
24,U000749,2025-10-16T15:48:08,190.8,11.08,15.74,7.52,202.98,fulfilled,FREESHIP,google,google_campaign_1
25,U000443,2025-10-16T08:35:01,433.29,64.83,35.75,11.18,415.39,fulfilled,,affiliate,affiliate_campaign_4
26,U000013,2025-10-16T03:27:48,95.42,9.74,7.87,2.55,96.1,fulfilled,SAVE10,email,email_campaign_5
27,U002125,2025-10-16T16:56:50,178.38,18.7,14.72,11.85,186.25,placed,FREESHIP,affiliate,affiliate_campaign_1
28,U004347,2025-10-16T09:47:52,564.27,75.08,46.55,9.53,545.27,fulfilled,VIP,tiktok,tiktok_campaign_4
29,U000261,2025-10-16T18:22:46,120.43,20.14,9.94,3.92,114.15,fulfilled,WELCOME,google,google_campaign_3
30,U003089,2025-10-17T00:10:19,716.23,7.98,59.09,6.43,773.77,fulfilled,VIP,affiliate,affiliate_campaign_4
31,U004791,2025-10-17T00:18:12,258.81,11.96,21.35,9.04,277.24,placed,,google,google_campaign_2
32,U004728,2025-10-16T11:52:25,563.7,21.92,46.51,4.31,592.6,placed,FREESHIP,affiliate,affiliate_campaign_3
33,U000610,2025-10-16T09:33:52,235.5,13.41,19.43,9.45,250.97,fulfilled,FREESHIP,tiktok,tiktok_campaign_4
34,U003559,2025-10-16T11:14:03,726.62,25.95,59.95,8.48,769.1,fulfilled,FREESHIP,tiktok,tiktok_campaign_4
35,U000745,2025-10-16T14:12:43,178.28,11.67,14.71,11.32,192.64,fulfilled,SAVE10,email,email_campaign_5
36,U003433,2025-10-16T18:48:04,98.31,7.75,8.11,6.11,104.78,fulfilled,VIP,google,google_campaign_2
37,U004779,2025-10-16T14:33:20,16.08,0.53,1.33,2.22,19.1,fulfilled,SAVE10,tiktok,tiktok_campaign_6
38,U001478,2025-10-16T01:12:10,873.99,114.33,72.1,9.7,841.46,fulfilled,VIP,tiktok,tiktok_campaign_2
39,U002957,2025-10-16T11:43:11,413.19,7.88,34.09,6.98,446.38,fulfilled,FREESHIP,email,email_campaign_2
40,U004321,2025-10-16T17:36:03,1091.39,162.96,90.04,11.03,1029.5,fulfilled,SAVE10,email,email_campaign_6
41,U000266,2025-10-16T10:38:36,638.34,111.9,52.66,8.43,587.53,placed,VIP,google,google_campaign_5
42,U004126,2025-10-16T18:52:15,343.56,8.71,28.34,8.62,371.81,refunded,FREESHIP,facebook,facebook_campaign_1
43,U003726,2025-10-16T06:35:47,684.7,50.41,56.49,7.44,698.22,fulfilled,VIP,tiktok,tiktok_campaign_2
44,U004595,2025-10-16T05:51:15,45.16,5.95,3.73,11.01,53.95,refunded,VIP,google,google_campaign_3
45,U003290,2025-10-16T02:53:09,155.1,21.61,12.8,0.75,147.04,fulfilled,VIP,tiktok,tiktok_campaign_3
46,U002126,2025-10-16T02:42:44,691.1,9.68,57.02,8.02,746.46,fulfilled,WELCOME,google,google_campaign_4
47,U003691,2025-10-16T23:26:35,533.1,91.65,43.98,4.44,489.87,fulfilled,WELCOME,email,email_campaign_6
48,U003801,2025-10-16T23:50:23,298.64,42.49,24.64,10.09,290.88,fulfilled,FREESHIP,email,email_campaign_1
49,U004688,2025-10-16T09:45:50,351.9,50.75,29.03,6.05,336.23,fulfilled,VIP,affiliate,affiliate_campaign_4
50,U004685,2025-10-16T01:26:34,426.32,1.78,35.17,11.82,471.53,fulfilled,,facebook,facebook_campaign_4
51,U000941,2025-10-16T01:31:15,633.56,28.52,52.27,2.37,659.68,fulfilled,WELCOME,tiktok,tiktok_campaign_2
52,U003048,2025-10-16T12:06:05,464.5,8.61,38.32,3.34,497.55,fulfilled,,google,google_campaign_1
53,U003455,2025-10-16T12:05:43,510.72,26.2,42.13,7.72,534.37,fulfilled,,tiktok,tiktok_campaign_2
54,U003300,2025-10-16T20:22:55,279.69,19.8,23.07,8.36,291.32,fulfilled,,affiliate,affiliate_campaign_1
55,U004404,2025-10-16T02:34:07,297.77,34.14,24.57,8.02,296.22,fulfilled,SAVE10,tiktok,tiktok_campaign_1
56,U004015,2025-10-16T12:35:12,283.8,9.6,23.41,1.25,298.86,fulfilled,FREESHIP,email,email_campaign_2
57,U001540,2025-10-16T10:44:30,31.08,2.66,2.56,6.37,37.35,fulfilled,,email,email_campaign_2
58,U003535,2025-10-16T05:36:36,597.07,55.74,49.26,1.31,591.9,placed,SAVE10,email,email_campaign_5
59,U001799,2025-10-16T02:15:43,59.24,8.38,4.89,4.17,59.92,fulfilled,FREESHIP,google,google_campaign_5
60,U000773,2025-10-16T18:24:35,141.09,12.05,11.64,4.01,144.69,placed,WELCOME,affiliate,affiliate_campaign_4
61,U001399,2025-10-16T22:14:52,23.91,1.31,1.97,8.83,33.4,fulfilled,WELCOME,tiktok,tiktok_campaign_4
62,U001588,2025-10-16T23:44:55,436.47,45.53,36.01,8.42,435.37,fulfilled,,google,google_campaign_3
63,U000053,2025-10-16T23:39:51,99.6,5.38,8.22,5.8,108.24,placed,SAVE10,facebook,facebook_campaign_1
64,U004479,2025-10-16T22:50:15,302.6,26.85,24.96,8.01,308.72,fulfilled,,email,email_campaign_6
65,U003147,2025-10-16T02:36:00,1309.28,47.07,108.02,3.03,1373.26,fulfilled,WELCOME,google,google_campaign_5
66,U001328,2025-10-16T20:11:24,107.51,18.53,8.87,8.74,106.59,fulfilled,SAVE10,facebook,facebook_campaign_1
67,U004473,2025-10-16T21:18:35,104.34,18.43,8.61,11.4,105.92,fulfilled,FREESHIP,email,email_campaign_3
68,U000947,2025-10-16T04:30:04,322.68,14.52,26.62,0.68,335.46,placed,VIP,affiliate,affiliate_campaign_3
69,U004518,2025-10-16T23:50:20,190.65,18.98,15.73,1.47,188.87,fulfilled,SAVE10,facebook,facebook_campaign_5
70,U000142,2025-10-16T00:29:23,135.96,6.35,11.22,5.94,146.77,fulfilled,SAVE10,email,email_campaign_1
71,U001761,2025-10-16T21:42:59,68.1,9.78,5.62,7.29,71.23,fulfilled,FREESHIP,google,google_campaign_6
72,U001598,2025-10-16T10:55:55,764.78,69.61,63.09,10.98,769.24,fulfilled,FREESHIP,facebook,facebook_campaign_3
73,U000128,2025-10-16T05:20:10,725.87,91.06,59.88,2.9,697.59,fulfilled,WELCOME,email,email_campaign_3
74,U003718,2025-10-16T04:02:04,590.18,54.48,48.69,9.32,593.71,fulfilled,WELCOME,google,google_campaign_4
75,U004271,2025-10-16T07:31:09,313.42,41.38,25.86,3.39,301.29,placed,,affiliate,affiliate_campaign_6
76,U003481,2025-10-16T06:51:37,169.85,17.19,14.01,3.88,170.55,fulfilled,VIP,email,email_campaign_3
77,U002716,2025-10-16T08:46:31,57.92,6.58,4.78,8.26,64.38,placed,,affiliate,affiliate_campaign_6
78,U003705,2025-10-16T21:54:18,116.64,8.47,9.62,10.06,127.85,fulfilled,FREESHIP,google,google_campaign_4
79,U000547,2025-10-16T23:48:34,499.12,13.69,41.18,8.77,535.38,fulfilled,WELCOME,affiliate,affiliate_campaign_2
80,U001715,2025-10-16T00:31:35,643.01,35.02,53.05,9.12,670.16,fulfilled,VIP,facebook,facebook_campaign_2
81,U000088,2025-10-16T16:47:12,612.22,107.02,50.51,9.88,565.59,fulfilled,VIP,tiktok,tiktok_campaign_5
82,U000679,2025-10-16T04:34:03,417.61,30.31,34.45,10.05,431.8,fulfilled,,google,google_campaign_4
83,U002550,2025-10-16T20:55:58,429.71,59.3,35.45,9.46,415.32,fulfilled,WELCOME,tiktok,tiktok_campaign_1
84,U002759,2025-10-16T07:40:50,247.79,30.27,20.44,3.6,241.56,refunded,SAVE10,tiktok,tiktok_campaign_3
85,U004154,2025-10-16T15:30:56,190.8,27.23,15.74,1.7,181.01,fulfilled,VIP,email,email_campaign_3
86,U004891,2025-10-16T19:36:12,116.34,12.55,9.6,4.78,118.17,placed,SAVE10,google,google_campaign_3
87,U004096,2025-10-16T02:23:29,302.47,28.17,24.95,1.28,300.53,fulfilled,WELCOME,facebook,facebook_campaign_3
88,U003563,2025-10-16T17:17:26,293.07,14.1,24.18,3.52,306.67,fulfilled,VIP,tiktok,tiktok_campaign_1
89,U000292,2025-10-16T04:13:59,357.84,36.65,29.52,0.49,351.2,fulfilled,,tiktok,tiktok_campaign_6
90,U001244,2025-10-16T18:21:23,397.48,32.3,32.79,5.61,403.58,placed,FREESHIP,facebook,facebook_campaign_5
91,U002881,2025-10-16T16:20:14,194.79,10.15,16.07,10.38,211.09,fulfilled,VIP,email,email_campaign_1
92,U004363,2025-10-16T08:24:37,183.62,12.67,15.15,7.84,193.94,refunded,VIP,email,email_campaign_4
93,U003780,2025-10-17T00:05:16,731.18,116.26,60.32,6.45,681.69,fulfilled,FREESHIP,google,google_campaign_5
94,U000195,2025-10-16T18:15:09,326.03,44.22,26.9,1.34,310.05,placed,VIP,google,google_campaign_3
95,U002784,2025-10-16T09:26:36,907.06,92.78,74.83,7.13,896.24,fulfilled,SAVE10,email,email_campaign_2
96,U002416,2025-10-16T05:06:22,586.8,68.01,48.41,7.05,574.25,fulfilled,FREESHIP,facebook,facebook_campaign_5
97,U001660,2025-10-16T01:27:19,164.47,23.6,13.57,2.19,156.63,refunded,SAVE10,email,email_campaign_6
98,U001865,2025-10-16T22:08:34,490.05,26.46,40.43,0.12,504.14,fulfilled,,affiliate,affiliate_campaign_4
99,U001596,2025-10-16T23:40:18,778.61,70.5,64.24,7.51,779.86,placed,SAVE10,affiliate,affiliate_campaign_4
100,U003366,2025-10-16T15:02:02,477.12,6.49,39.36,1.11,511.1,fulfilled,,email,email_campaign_1
101,U002407,2025-10-16T22:44:15,540.94,18.39,44.63,1.78,568.96,fulfilled,,email,email_campaign_1
102,U000130,2025-10-16T23:44:30,238.27,35.31,19.66,5.03,227.65,placed,FREESHIP,tiktok,tiktok_campaign_1
103,U002186,2025-10-16T12:54:57,57.06,1.66,4.71,3.87,63.98,fulfilled,VIP,email,email_campaign_3
104,U004729,2025-10-16T17:11:28,880.25,120.94,72.62,3.15,835.08,fulfilled,VIP,facebook,facebook_campaign_4
105,U004302,2025-10-16T19:43:41,156.33,15.22,12.9,11.46,165.47,fulfilled,SAVE10,tiktok,tiktok_campaign_5
106,U004434,2025-10-16T05:52:10,568.75,9.07,46.92,8.78,615.38,refunded,WELCOME,google,google_campaign_6
107,U002694,2025-10-16T09:49:55,583.15,63.68,48.11,10.44,578.02,fulfilled,,tiktok,tiktok_campaign_1
108,U001716,2025-10-16T20:37:58,183.04,3.34,15.1,8.66,203.46,fulfilled,WELCOME,tiktok,tiktok_campaign_6
109,U000849,2025-10-16T22:36:40,226.06,17.92,18.65,9.74,236.53,placed,WELCOME,affiliate,affiliate_campaign_1
110,U004808,2025-10-16T00:21:13,159.18,18.61,13.13,5.94,159.64,placed,,affiliate,affiliate_campaign_1
111,U003306,2025-10-16T14:23:58,356.79,40.65,29.44,4.08,349.66,fulfilled,FREESHIP,email,email_campaign_4
112,U003057,2025-10-16T06:20:11,364.6,57.23,30.08,10.95,348.4,fulfilled,FREESHIP,google,google_campaign_5
113,U003725,2025-10-16T14:48:41,82.71,1.35,6.82,7.86,96.04,fulfilled,FREESHIP,email,email_campaign_1
114,U002882,2025-10-16T02:08:35,87.53,9.0,7.22,7.36,93.11,placed,VIP,email,email_campaign_6
115,U004080,2025-10-16T05:27:10,136.29,22.9,11.24,9.2,133.83,placed,SAVE10,affiliate,affiliate_campaign_1
116,U002605,2025-10-16T20:44:16,119.22,3.95,9.84,2.33,127.44,fulfilled,VIP,google,google_campaign_2
117,U000569,2025-10-16T22:32:44,311.04,50.47,25.66,8.21,294.44,placed,,affiliate,affiliate_campaign_3
118,U003774,2025-10-16T16:17:06,643.47,43.41,53.09,3.68,656.83,fulfilled,VIP,email,email_campaign_4
119,U003706,2025-10-16T23:35:37,579.63,71.01,47.82,9.23,565.67,fulfilled,FREESHIP,email,email_campaign_1
120,U004525,2025-10-16T10:37:49,1033.4,33.82,85.26,10.73,1095.57,refunded,FREESHIP,facebook,facebook_campaign_1
121,U002185,2025-10-16T16:27:33,121.03,0.21,9.98,0.16,130.96,fulfilled,FREESHIP,google,google_campaign_6
122,U000032,2025-10-16T08:47:07,111.86,3.72,9.23,0.08,117.45,placed,SAVE10,facebook,facebook_campaign_1
123,U001179,2025-10-16T21:16:15,462.88,68.69,38.19,8.83,441.21,fulfilled,WELCOME,facebook,facebook_campaign_6
124,U000530,2025-10-16T02:42:26,90.6,4.28,7.47,10.08,103.87,fulfilled,VIP,email,email_campaign_3
125,U003273,2025-10-16T01:00:00,575.14,28.75,47.45,2.28,596.12,fulfilled,VIP,email,email_campaign_6
126,U002635,2025-10-16T19:57:24,672.81,17.7,55.51,3.27,713.89,fulfilled,WELCOME,email,email_campaign_4
127,U001639,2025-10-16T21:50:48,197.94,9.3,16.33,1.73,206.7,placed,VIP,affiliate,affiliate_campaign_1
128,U001621,2025-10-16T11:00:40,505.85,55.82,41.73,9.13,500.89,fulfilled,WELCOME,facebook,facebook_campaign_5
129,U000323,2025-10-16T02:49:26,148.34,10.7,12.24,0.75,150.63,fulfilled,VIP,facebook,facebook_campaign_4
130,U004033,2025-10-16T15:32:56,96.69,12.95,7.98,3.38,95.1,fulfilled,FREESHIP,affiliate,affiliate_campaign_1
131,U001677,2025-10-16T04:20:58,397.82,44.83,32.82,6.8,392.61,fulfilled,WELCOME,google,google_campaign_4
132,U004028,2025-10-16T20:30:20,236.8,15.69,19.54,7.75,248.4,refunded,WELCOME,affiliate,affiliate_campaign_3
133,U002294,2025-10-17T00:20:36,332.13,41.54,27.4,3.28,321.27,placed,FREESHIP,google,google_campaign_3
134,U003335,2025-10-16T21:38:15,300.93,13.72,24.83,1.65,313.69,refunded,VIP,email,email_campaign_3
135,U003247,2025-10-16T16:02:13,855.46,101.15,70.58,4.71,829.6,fulfilled,VIP,google,google_campaign_5
136,U002075,2025-10-16T04:20:02,476.84,66.58,39.34,9.68,459.28,fulfilled,VIP,affiliate,affiliate_campaign_4
137,U001831,2025-10-16T21:33:51,636.18,42.17,52.48,6.52,653.01,fulfilled,,email,email_campaign_2
138,U003460,2025-10-16T03:02:06,698.25,33.06,57.61,0.8,723.6,fulfilled,SAVE10,google,google_campaign_3
139,U004585,2025-10-16T09:22:02,60.4,9.57,4.98,1.64,57.45,refunded,VIP,facebook,facebook_campaign_2
140,U003419,2025-10-16T21:12:08,394.78,41.89,32.57,6.72,392.18,fulfilled,FREESHIP,google,google_campaign_6
141,U001572,2025-10-16T19:34:27,420.2,39.34,34.67,1.41,416.94,fulfilled,WELCOME,email,email_campaign_3
142,U002329,2025-10-16T09:41:01,1107.16,190.22,91.34,1.09,1009.37,fulfilled,WELCOME,facebook,facebook_campaign_2
143,U002528,2025-10-16T21:40:18,307.42,24.16,25.36,10.5,319.12,fulfilled,,affiliate,affiliate_campaign_4
144,U003727,2025-10-16T04:35:45,459.03,47.71,37.87,10.05,459.24,fulfilled,WELCOME,facebook,facebook_campaign_2
145,U001257,2025-10-16T12:30:21,280.59,28.75,23.15,5.01,280.0,fulfilled,SAVE10,email,email_campaign_6
146,U002091,2025-10-16T00:38:38,485.62,74.35,40.06,11.47,462.8,fulfilled,FREESHIP,google,google_campaign_2
147,U002709,2025-10-16T19:17:52,106.85,0.99,8.82,7.1,121.78,fulfilled,WELCOME,facebook,facebook_campaign_6
148,U003247,2025-10-16T07:51:03,62.93,6.12,5.19,5.91,67.91,placed,SAVE10,email,email_campaign_4
149,U004966,2025-10-16T06:29:17,482.51,70.75,39.81,5.02,456.59,refunded,WELCOME,affiliate,affiliate_campaign_1
150,U001508,2025-10-16T06:24:06,143.41,19.9,11.83,7.58,142.92,fulfilled,FREESHIP,tiktok,tiktok_campaign_4
151,U004332,2025-10-16T22:49:34,523.86,55.57,43.22,11.58,523.09,placed,VIP,affiliate,affiliate_campaign_2
152,U002012,2025-10-16T01:01:32,154.1,27.26,12.71,10.48,150.03,fulfilled,,google,google_campaign_2
153,U004535,2025-10-16T13:22:16,394.01,18.32,32.51,4.55,412.75,placed,WELCOME,google,google_campaign_5
154,U003376,2025-10-16T19:23:15,303.55,9.98,25.04,2.55,321.16,fulfilled,SAVE10,tiktok,tiktok_campaign_1
155,U004508,2025-10-16T03:26:34,41.43,0.51,3.42,11.39,55.73,fulfilled,,affiliate,affiliate_campaign_5
156,U001735,2025-10-16T06:17:32,136.74,16.26,11.28,2.59,134.35,fulfilled,SAVE10,email,email_campaign_1
157,U002422,2025-10-16T19:33:09,305.73,9.89,25.22,10.51,331.57,fulfilled,SAVE10,email,email_campaign_1
158,U004972,2025-10-16T03:10:50,260.99,29.89,21.53,6.22,258.85,fulfilled,,facebook,facebook_campaign_5
159,U004479,2025-10-16T12:36:33,70.57,8.74,5.82,5.77,73.42,fulfilled,VIP,email,email_campaign_2
160,U000023,2025-10-16T09:22:09,116.52,13.87,9.61,4.39,116.65,fulfilled,FREESHIP,email,email_campaign_3
161,U002040,2025-10-16T07:28:37,274.44,1.02,22.64,10.55,306.61,fulfilled,SAVE10,email,email_campaign_6
162,U004297,2025-10-16T00:31:28,919.48,82.31,75.86,8.75,921.78,fulfilled,FREESHIP,facebook,facebook_campaign_2
163,U002960,2025-10-16T15:11:49,58.54,5.36,4.83,2.2,60.21,fulfilled,VIP,affiliate,affiliate_campaign_1
164,U001984,2025-10-16T20:52:43,579.57,5.57,47.81,8.0,629.81,fulfilled,,google,google_campaign_5
165,U004157,2025-10-16T21:24:00,942.1,50.26,77.72,6.63,976.19,fulfilled,FREESHIP,affiliate,affiliate_campaign_6
166,U002412,2025-10-16T18:40:23,49.14,5.5,4.05,0.28,47.97,fulfilled,SAVE10,tiktok,tiktok_campaign_5
167,U001168,2025-10-16T22:19:16,670.72,111.49,55.33,2.6,617.16,fulfilled,VIP,email,email_campaign_3
168,U001194,2025-10-16T19:47:11,668.83,108.23,55.18,10.26,626.04,fulfilled,SAVE10,tiktok,tiktok_campaign_5
169,U001145,2025-10-16T15:03:50,378.56,1.55,31.23,11.24,419.48,fulfilled,WELCOME,facebook,facebook_campaign_5
170,U004742,2025-10-16T01:56:00,356.29,58.04,29.39,8.89,336.53,fulfilled,FREESHIP,facebook,facebook_campaign_4
171,U004969,2025-10-16T09:01:50,1027.53,108.87,84.77,8.63,1012.06,fulfilled,,email,email_campaign_2
172,U000860,2025-10-16T14:55:23,1050.82,115.18,86.69,3.47,1025.8,fulfilled,,affiliate,affiliate_campaign_2
173,U002323,2025-10-16T16:57:57,576.9,56.0,47.59,11.67,580.16,placed,FREESHIP,affiliate,affiliate_campaign_5
174,U002136,2025-10-16T12:11:30,414.3,25.6,34.18,7.3,430.18,fulfilled,,facebook,facebook_campaign_5
175,U003943,2025-10-16T06:32:31,220.21,28.89,18.17,4.39,213.88,fulfilled,VIP,google,google_campaign_2
176,U004297,2025-10-16T09:30:14,581.05,72.8,47.94,6.28,562.47,fulfilled,FREESHIP,email,email_campaign_4
177,U002671,2025-10-16T03:00:07,948.2,83.74,78.23,6.0,948.69,fulfilled,SAVE10,facebook,facebook_campaign_1
178,U002359,2025-10-16T02:38:09,132.15,7.25,10.9,1.11,136.91,fulfilled,,affiliate,affiliate_campaign_2
179,U001724,2025-10-16T18:39:27,235.68,32.72,19.44,8.08,230.48,placed,VIP,google,google_campaign_5
180,U004054,2025-10-16T02:26:52,216.5,12.45,17.86,11.43,233.34,placed,,facebook,facebook_campaign_5
181,U002017,2025-10-16T17:56:33,374.32,26.86,30.88,9.16,387.5,placed,SAVE10,google,google_campaign_2
182,U000887,2025-10-16T02:14:00,404.3,58.29,33.35,2.1,381.46,fulfilled,,email,email_campaign_1
183,U002180,2025-10-16T15:43:16,194.8,1.31,16.07,8.99,218.55,fulfilled,SAVE10,email,email_campaign_1
184,U000816,2025-10-16T08:03:44,616.96,110.57,50.9,5.35,562.64,placed,WELCOME,email,email_campaign_3
185,U004679,2025-10-16T18:37:59,495.85,7.6,40.91,7.15,536.31,placed,,tiktok,tiktok_campaign_4
186,U004996,2025-10-16T14:35:35,618.51,84.62,51.03,9.91,594.83,fulfilled,FREESHIP,affiliate,affiliate_campaign_2
187,U003238,2025-10-16T05:30:37,346.7,25.42,28.6,2.79,352.67,fulfilled,VIP,affiliate,affiliate_campaign_4
188,U004647,2025-10-16T15:09:50,227.91,22.2,18.8,10.89,235.4,placed,VIP,google,google_campaign_4
189,U002569,2025-10-16T04:17:12,216.28,4.41,17.84,5.69,235.4,fulfilled,,google,google_campaign_5
190,U004755,2025-10-16T07:29:55,539.19,1.39,44.48,9.49,591.77,fulfilled,VIP,google,google_campaign_3
191,U000552,2025-10-16T01:33:27,322.68,0.87,26.62,5.7,354.13,fulfilled,VIP,google,google_campaign_1
192,U004578,2025-10-16T07:58:06,304.83,50.45,25.15,0.64,280.17,fulfilled,SAVE10,google,google_campaign_2
193,U003609,2025-10-16T19:11:36,128.74,15.95,10.62,5.7,129.11,fulfilled,VIP,tiktok,tiktok_campaign_5
194,U003943,2025-10-16T05:30:38,800.72,19.05,66.06,2.44,850.17,fulfilled,SAVE10,email,email_campaign_1
195,U003211,2025-10-16T20:45:31,62.7,0.71,5.17,6.26,73.42,fulfilled,VIP,facebook,facebook_campaign_2
196,U001133,2025-10-16T11:57:34,652.39,44.53,53.82,10.01,671.69,fulfilled,,tiktok,tiktok_campaign_4
197,U004261,2025-10-16T04:47:54,38.91,4.17,3.21,1.52,39.47,refunded,SAVE10,email,email_campaign_5
198,U002937,2025-10-16T23:31:53,238.1,20.86,19.64,3.49,240.37,placed,SAVE10,affiliate,affiliate_campaign_5
199,U003385,2025-10-16T20:15:33,367.7,5.47,30.34,10.82,403.39,fulfilled,,affiliate,affiliate_campaign_2
200,U000817,2025-10-16T04:34:30,572.45,41.85,47.23,7.45,585.28,fulfilled,WELCOME,email,email_campaign_5
201,U003217,2025-10-16T23:23:30,626.31,33.81,51.67,7.36,651.53,placed,SAVE10,facebook,facebook_campaign_3
202,U002738,2025-10-16T00:32:31,306.51,34.63,25.29,7.94,305.11,fulfilled,SAVE10,facebook,facebook_campaign_2
203,U000054,2025-10-16T12:28:12,579.97,14.77,47.85,4.44,617.49,fulfilled,,email,email_campaign_3
204,U000036,2025-10-16T21:01:29,866.75,107.69,71.51,5.65,836.22,fulfilled,,google,google_campaign_4
205,U001046,2025-10-16T23:39:26,187.76,8.24,15.49,8.61,203.62,placed,SAVE10,facebook,facebook_campaign_1
206,U002160,2025-10-16T20:30:05,382.64,65.71,31.57,10.52,359.02,placed,SAVE10,tiktok,tiktok_campaign_1
207,U001384,2025-10-16T05:00:55,350.88,46.42,28.95,11.39,344.8,fulfilled,FREESHIP,email,email_campaign_1
208,U001530,2025-10-16T02:51:55,685.7,45.64,56.57,5.6,702.23,fulfilled,FREESHIP,tiktok,tiktok_campaign_5
209,U002531,2025-10-16T02:21:08,230.66,3.3,19.03,8.76,255.15,fulfilled,FREESHIP,email,email_campaign_5
210,U001857,2025-10-16T15:59:27,671.95,46.1,55.44,1.18,682.47,fulfilled,SAVE10,google,google_campaign_5
211,U002148,2025-10-16T09:34:43,93.33,4.91,7.7,11.97,108.09,fulfilled,FREESHIP,email,email_campaign_4
212,U003192,2025-10-16T23:53:10,549.11,76.32,45.3,7.84,525.93,fulfilled,,email,email_campaign_2
213,U002571,2025-10-16T18:00:35,92.18,0.28,7.6,11.2,110.7,placed,VIP,google,google_campaign_3
214,U001297,2025-10-16T02:40:24,1006.26,73.53,83.02,6.8,1022.55,fulfilled,SAVE10,affiliate,affiliate_campaign_6
215,U004067,2025-10-16T11:04:00,405.97,29.72,33.49,4.24,413.98,fulfilled,VIP,affiliate,affiliate_campaign_4
216,U001528,2025-10-16T16:20:13,460.16,13.34,37.96,4.96,489.74,fulfilled,WELCOME,google,google_campaign_1
217,U000944,2025-10-16T02:00:44,188.28,0.34,15.53,3.62,207.09,fulfilled,WELCOME,email,email_campaign_3
218,U001216,2025-10-16T20:37:50,1005.57,70.88,82.96,3.97,1021.62,fulfilled,VIP,google,google_campaign_1
219,U000594,2025-10-16T20:32:51,305.9,11.45,25.24,1.29,320.98,fulfilled,VIP,affiliate,affiliate_campaign_3
220,U001102,2025-10-16T14:53:35,602.39,15.4,49.7,5.74,642.43,fulfilled,WELCOME,affiliate,affiliate_campaign_1
221,U003995,2025-10-16T08:53:18,159.7,13.06,13.18,1.96,161.78,placed,SAVE10,google,google_campaign_2
222,U001263,2025-10-16T23:48:07,140.99,6.32,11.63,2.25,148.55,fulfilled,,facebook,facebook_campaign_3
223,U004815,2025-10-16T13:05:37,653.36,53.44,53.9,1.96,655.78,fulfilled,WELCOME,facebook,facebook_campaign_5
224,U004421,2025-10-16T07:26:55,379.98,41.99,31.35,4.53,373.87,fulfilled,WELCOME,tiktok,tiktok_campaign_3
