return_id,order_id,sku,qty,reason,processed_ts,amount_refunded
R697041489,1872,SKU00115,1,defect,2025-10-26T20:51:46,13.24
R250351116,1876,SKU00098,1,size,2025-10-13T14:36:27,113.02
R211161745,1919,SKU00297,1,defect,2025-10-17T08:58:03,74.34
R620339355,1924,SKU00213,1,changed_mind,2025-10-20T01:08:18,29.53
R814262151,1930,SKU00027,1,defect,2025-10-14T03:46:09,74.12
R232738269,1940,SKU00349,1,defect,2025-10-17T13:47:57,85.49
R244134896,2025,SKU00180,1,size,2025-10-21T11:58:32,108.42
R127018703,2038,SKU00247,1,size,2025-10-17T14:25:27,74.99
R916438492,2072,SKU00146,1,size,2025-10-14T23:42:29,50.55
R3040209,2095,SKU00125,1,changed_mind,2025-10-18T03:15:03,21.48
R625899034,2099,SKU00287,1,size,2025-10-24T11:17:05,76.03
R735094956,2102,SKU00349,1,defect,2025-10-21T15:31:08,102.4
R110847223,2140,SKU00335,1,defect,2025-10-21T08:03:22,97.59
R975626701,2181,SKU00208,1,defect,2025-10-18T04:08:45,87.41
R469811513,2195,SKU00019,1,defect,2025-10-22T12:15:04,48.94
R670478509,2199,SKU00074,1,size,2025-10-23T09:56:26,62.31
R650179041,2216,SKU00140,1,defect,2025-10-19T08:12:34,98.67
R187055189,2231,SKU00137,1,changed_mind,2025-10-15T14:28:50,76.12
R719127285,2254,SKU00113,1,changed_mind,2025-10-19T16:22:59,21.91
R103666774,2260,SKU00253,1,defect,2025-10-23T03:39:57,118.74
R716248039,2270,SKU00177,1,defect,2025-10-13T05:20:45,103.34
R938204206,2298,SKU00128,1,defect,2025-10-23T23:53:41,27.63
R474133123,2348,SKU00159,1,changed_mind,2025-10-15T04:19:25,27.73
R918321475,2368,SKU00213,1,size,2025-10-20T19:38:01,41.0
R754297607,2371,SKU00108,1,size,2025-10-13T06:57:32,108.44
R539020596,2403,SKU00262,1,defect,2025-10-13T20:15:37,13.33
R31779522,2424,SKU00361,1,size,2025-10-23T15:06:42,46.45
R265321115,2503,SKU00368,1,changed_mind,2025-10-20T23:32:11,59.86
R344857776,2506,SKU00248,1,size,2025-10-18T17:50:42,56.82
R572378296,2511,SKU00038,1,size,2025-10-25T09:01:27,76.55
R522490718,2525,SKU00047,1,changed_mind,2025-10-23T03:01:39,26.02
R720412269,2526,SKU00183,1,changed_mind,2025-10-13T13:02:35,25.37
R23503314,2529,SKU00259,1,size,2025-10-24T04:55:37,72.37
R864800423,2550,SKU00110,1,changed_mind,2025-10-13T13:43:50,80.58
R862580619,2570,SKU00379,1,size,2025-10-24T03:35:07,58.99
R930199584,2571,SKU00252,1,defect,2025-10-17T05:37:34,94.8
R363972614,2693,SKU00175,1,defect,2025-10-23T12:07:33,37.03
R152340490,2697,SKU00347,1,defect,2025-10-22T14:55:50,49.39
R549040255,2701,SKU00109,1,size,2025-10-22T09:39:17,47.6
R38580571,2703,SKU00036,1,defect,2025-10-17T23:27:06,75.84
R582606329,2742,SKU00175,1,size,2025-10-12T15:17:32,96.89
R813588513,2743,SKU00204,1,size,2025-10-16T21:42:31,20.24
R597785160,2746,SKU00045,1,size,2025-10-15T19:49:57,91.87
R904078795,2754,SKU00110,1,defect,2025-10-23T12:22:36,101.25
R458402851,2778,SKU00027,1,size,2025-10-25T07:07:25,22.83
R83703377,2786,SKU00150,1,defect,2025-10-24T10:22:49,97.11
R984192699,2800,SKU00179,1,changed_mind,2025-10-19T15:11:42,116.9
R160847504,2807,SKU00316,1,changed_mind,2025-10-23T02:02:42,119.25
R147083061,2820,SKU00379,1,size,2025-10-16T01:26:54,11.89
R780896064,2831,SKU00313,1,changed_mind,2025-10-14T20:22:10,15.94
R576251489,2887,SKU00269,1,changed_mind,2025-10-11T22:39:35,25.22
R556362200,2896,SKU00112,1,defect,2025-10-19T13:04:11,18.72
R582769185,2916,SKU00246,1,changed_mind,2025-10-23T23:00:23,28.62
R227093628,2931,SKU00241,1,changed_mind,2025-10-20T16:07:48,58.3
R604690915,2933,SKU00241,1,defect,2025-10-19T08:41:44,79.66
R998661808,2934,SKU00050,1,defect,2025-10-15T07:03:40,97.85
R106721359,2937,SKU00287,1,changed_mind,2025-10-20T02:01:36,31.63
R92421403,2972,SKU00307,1,defect,2025-10-22T01:09:14,88.92
R273300055,2975,SKU00373,1,defect,2025-10-19T03:18:20,104.72
R439581119,3001,SKU00324,1,defect,2025-10-15T09:28:22,80.07
R868514967,3005,SKU00268,1,size,2025-10-21T11:09:58,111.44
R544690974,3014,SKU00322,1,size,2025-10-13T05:52:37,100.49
R633558634,3024,SKU00068,1,size,2025-10-15T21:27:54,46.61
R290743403,3027,SKU00339,1,defect,2025-10-20T10:10:27,108.42
R951625130,3052,SKU00344,1,size,2025-10-18T12:47:59,97.1
R330976543,3079,SKU00266,1,defect,2025-10-19T03:34:01,57.64
R478587775,3102,SKU00038,1,size,2025-10-11T21:13:54,44.91
R181247016,3125,SKU00144,1,changed_mind,2025-10-21T16:59:57,56.07
R513083464,3127,SKU00178,1,size,2025-10-20T21:24:16,88.4
R19435944,3128,SKU00275,1,defect,2025-10-23T00:37:09,103.06
R28615787,3141,SKU00369,1,defect,2025-10-23T04:16:57,105.7
R699071224,3143,SKU00139,1,defect,2025-10-19T03:35:07,61.95
R234461120,3155,SKU00141,1,size,2025-10-13T22:06:02,22.67
R747523936,3160,SKU00247,1,size,2025-10-11T02:35:58,66.07
R755033887,3197,SKU00108,1,size,2025-10-18T17:18:03,49.13
R733199285,3199,SKU00280,1,changed_mind,2025-10-24T01:06:40,105.55
R188676427,3203,SKU00111,1,defect,2025-10-22T13:58:35,22.68
R942229064,3236,SKU00256,1,size,2025-10-24T22:19:48,40.8
R609275416,3248,SKU00072,1,size,2025-10-15T03:47:19,64.93
R696663099,3266,SKU00072,1,defect,2025-10-12T01:44:28,26.22
R900546733,3269,SKU00239,1,size,2025-10-11T06:52:32,90.78
R141551873,3321,SKU00220,1,size,2025-10-15T21:59:23,74.98
R884623190,3334,SKU00248,1,changed_mind,2025-10-23T13:14:51,71.62
R688789254,3344,SKU00152,1,size,2025-10-15T23:22:27,42.04
R42263256,3423,SKU00033,1,size,2025-10-18T13:23:52,117.81
R558014481,3424,SKU00286,1,size,2025-10-16T18:47:29,114.83
R503508677,3425,SKU00261,1,changed_mind,2025-10-14T20:41:40,39.31
R161394421,3457,SKU00088,1,changed_mind,2025-10-19T19:15:10,16.39
R309144000,3463,SKU00324,1,defect,2025-10-13T03:55:39,35.39
R275095369,3471,SKU00006,1,changed_mind,2025-10-20T17:29:33,69.71
R55897139,3508,SKU00029,1,defect,2025-10-23T02:28:11,99.56
R430284364,3516,SKU00070,1,changed_mind,2025-10-19T22:41:26,119.98
R721670959,3517,SKU00028,1,defect,2025-10-13T02:10:11,10.1
R536465970,3521,SKU00048,1,size,2025-10-14T04:06:31,101.2
R910825738,3578,SKU00300,1,changed_mind,2025-10-10T11:07:02,105.01
R820674779,3582,SKU00001,1,changed_mind,2025-10-18T13:58:14,119.52
R577399872,3585,SKU00021,1,defect,2025-10-17T14:17:57,35.95
R564270135,3634,SKU00070,1,defect,2025-10-17T01:18:16,73.34
R578729827,3651,SKU00128,1,defect,2025-10-23T06:05:13,28.26
R647596017,3653,SKU00216,1,size,2025-10-17T02:04:16,100.2
R205260776,3664,SKU00376,1,changed_mind,2025-10-13T10:29:35,73.22
R446029784,3670,SKU00364,1,size,2025-10-12T07:41:49,57.44
R692799425,3706,SKU00114,1,changed_mind,2025-10-19T04:28:41,50.55
R387248785,3747,SKU00177,1,changed_mind,2025-10-11T18:40:50,70.19
R362736304,3777,SKU00208,1,changed_mind,2025-10-18T19:42:58,108.15
R465550369,3779,SKU00322,1,changed_mind,2025-10-17T00:51:11,93.69
R896457990,3824,SKU00165,1,size,2025-10-21T18:15:35,88.34
R348711681,3865,SKU00276,1,defect,2025-10-20T04:57:59,79.15
R179371734,3894,SKU00336,1,changed_mind,2025-10-21T21:51:36,34.69
R281751462,3900,SKU00108,1,changed_mind,2025-10-11T16:55:57,27.54
R256874793,3910,SKU00185,1,size,2025-10-23T16:10:44,118.57
R254253751,3917,SKU00298,1,defect,2025-10-14T20:02:25,84.41
R157053865,3924,SKU00232,1,changed_mind,2025-10-12T04:48:05,10.09
R436865033,3935,SKU00192,1,changed_mind,2025-10-14T02:14:11,75.01
R702465488,3936,SKU00088,1,changed_mind,2025-10-09T22:14:24,52.72
R594550438,3938,SKU00177,1,changed_mind,2025-10-13T23:45:54,119.03
R60221496,4000,SKU00048,1,size,2025-10-09T19:59:19,38.04
R369395322,4011,SKU00341,1,changed_mind,2025-10-17T12:58:46,82.47
R727050452,4093,SKU00126,1,changed_mind,2025-10-11T20:25:07,97.1
R10050984,4104,SKU00271,1,size,2025-10-21T15:37:30,53.2
R699085900,4111,SKU00052,1,size,2025-10-16T10:46:53,108.03
R751241495,4134,SKU00118,1,size,2025-10-16T18:32:16,45.17
R627160722,4165,SKU00371,1,changed_mind,2025-10-17T04:16:08,97.02
R980375020,4168,SKU00133,1,defect,2025-10-20T11:35:18,34.47
R646216172,4176,SKU00249,1,defect,2025-10-14T01:14:18,66.62
R582853202,4217,SKU00121,1,defect,2025-10-16T13:36:28,34.04
R388257805,4241,SKU00146,1,defect,2025-10-16T02:38:49,17.49
R739926257,4329,SKU00198,1,defect,2025-10-22T05:55:14,54.61
R453491222,4335,SKU00075,1,changed_mind,2025-10-10T15:02:41,77.15
R141376655,4340,SKU00242,1,changed_mind,2025-10-15T12:52:02,36.55
R901152312,4360,SKU00371,1,changed_mind,2025-10-22T01:25:41,62.05
R542818849,4374,SKU00141,1,defect,2025-10-15T06:13:22,70.48
R644919880,4377,SKU00178,1,defect,2025-10-12T11:28:12,20.1
R859305301,4380,SKU00306,1,size,2025-10-14T05:07:13,20.25
R53550689,4451,SKU00096,1,changed_mind,2025-10-11T14:25:59,52.13
R118062594,4486,SKU00192,1,changed_mind,2025-10-15T23:21:37,74.77
R846708554,4511,SKU00127,1,size,2025-10-09T07:25:06,79.91
R922196746,4513,SKU00370,1,size,2025-10-12T07:02:00,26.26
R532424753,4525,SKU00184,1,defect,2025-10-19T06:19:15,49.5
R791791564,4542,SKU00276,1,defect,2025-10-10T16:28:21,34.93
R62238753,4550,SKU00246,1,changed_mind,2025-10-09T03:03:14,56.89
R735058813,4563,SKU00123,1,size,2025-10-16T23:42:18,100.17
R776587605,4601,SKU00226,1,changed_mind,2025-10-16T00:32:12,98.18
R94703976,4615,SKU00199,1,size,2025-10-20T20:20:40,82.21
R174110492,4649,SKU00204,1,defect,2025-10-09T08:03:55,72.48
R543193705,4655,SKU00119,1,changed_mind,2025-10-16T08:38:21,60.96
R407765952,4661,SKU00082,1,changed_mind,2025-10-09T12:28:31,79.09
R975780443,4663,SKU00015,1,size,2025-10-08T13:04:19,82.83
R318852401,4687,SKU00234,1,changed_mind,2025-10-18T11:05:25,109.3
R247716542,4699,SKU00247,1,defect,2025-10-09T02:15:12,100.43
R996203808,4704,SKU00233,1,size,2025-10-17T12:05:07,56.22
R820604979,4727,SKU00066,1,size,2025-10-16T05:28:59,34.61
R109965819,4781,SKU00250,1,defect,2025-10-07T11:53:48,40.3
R24551592,4872,SKU00155,1,defect,2025-10-09T10:19:52,25.13
R815497727,4896,SKU00044,1,changed_mind,2025-10-11T03:49:18,109.94
R198889738,4927,SKU00194,1,changed_mind,2025-10-18T15:25:51,33.32
R254081611,4928,SKU00079,1,defect,2025-10-14T18:07:23,112.04
R431555046,4951,SKU00009,1,defect,2025-10-06T23:33:34,64.34
R230718932,4974,SKU00260,1,size,2025-10-18T01:22:05,38.45
R343741549,5004,SKU00103,1,defect,2025-10-13T04:22:32,42.9
R170918909,5019,SKU00242,1,size,2025-10-12T13:42:40,66.26
R68795205,5030,SKU00234,1,size,2025-10-09T14:42:12,88.7
R899440448,5052,SKU00279,1,size,2025-10-16T10:49:58,37.29
R184710640,5064,SKU00330,1,size,2025-10-06T00:56:23,85.05
R651326784,5079,SKU00319,1,changed_mind,2025-10-08T00:07:26,31.05
R96277128,5108,SKU00297,1,size,2025-10-13T20:52:57,44.22
R836535802,5112,SKU00152,1,defect,2025-10-12T03:54:34,48.66
R964592299,5132,SKU00173,1,defect,2025-10-13T10:35:38,21.25
R365738450,5248,SKU00263,1,defect,2025-10-10T23:58:35,75.04
R112866470,5249,SKU00262,1,defect,2025-10-11T11:33:10,20.95
R719833616,5251,SKU00197,1,defect,2025-10-06T04:41:01,83.56
R774295224,5256,SKU00104,1,size,2025-10-15T19:45:10,40.0
R351932221,5271,SKU00123,1,changed_mind,2025-10-08T13:58:05,108.4
R964845962,5282,SKU00349,1,size,2025-10-05T17:58:05,24.53
R546663787,5311,SKU00155,1,size,2025-10-05T18:02:04,44.88
R734672454,5332,SKU00177,1,changed_mind,2025-10-06T02:01:55,65.31
R455496504,5348,SKU00056,1,size,2025-10-05T04:04:35,108.42
R342147597,5418,SKU00175,1,size,2025-10-17T16:12:04,85.34
R903030639,5423,SKU00068,1,changed_mind,2025-10-17T03:04:22,55.67
R433281540,5437,SKU00330,1,size,2025-10-10T23:26:57,37.51
R788951715,5481,SKU00038,1,size,2025-10-12T00:00:09,54.52
R133898865,5505,SKU00291,1,defect,2025-10-14T21:34:21,107.76
R553798278,5555,SKU00151,1,size,2025-10-11T15:27:27,101.35
R887615033,5556,SKU00110,1,size,2025-10-06T15:54:08,39.98
R445522552,5582,SKU00152,1,size,2025-10-13T20:32:28,19.47
R856195003,5606,SKU00072,1,size,2025-10-06T02:09:26,95.39
R864721811,5643,SKU00058,1,changed_mind,2025-10-06T18:11:12,115.78
R433630722,5682,SKU00176,1,size,2025-10-10T21:34:01,119.92
R101030841,5735,SKU00249,1,changed_mind,2025-10-06T17:31:21,85.73
R848496902,5741,SKU00061,1,changed_mind,2025-10-07T23:20:46,38.95
R758838328,5754,SKU00256,1,defect,2025-10-13T17:38:13,114.3
R908857937,5789,SKU00228,1,changed_mind,2025-10-05T05:48:20,100.71
R473682505,5796,SKU00057,1,defect,2025-10-15T09:25:30,18.84
R756801116,5802,SKU00162,1,defect,2025-10-11T18:56:51,15.58
R977083245,5810,SKU00209,1,size,2025-10-14T13:40:30,97.91
R100743515,5829,SKU00160,1,size,2025-10-04T04:30:31,103.71
R703470321,5843,SKU00196,1,changed_mind,2025-10-08T06:59:45,60.8
R487318077,5852,SKU00212,1,size,2025-10-09T06:53:16,84.4
R192205034,5874,SKU00189,1,defect,2025-10-15T12:47:23,18.2
R425981470,5888,SKU00028,1,defect,2025-10-14T00:29:23,117.89
R387959861,5892,SKU00015,1,changed_mind,2025-10-15T14:26:10,16.02
R837969749,5908,SKU00260,1,size,2025-10-03T02:09:19,98.82
R636612752,5959,SKU00303,1,defect,2025-10-14T10:49:54,81.19
R360354764,6021,SKU00379,1,defect,2025-10-15T09:27:19,91.39
R964322433,6055,SKU00121,1,defect,2025-10-11T06:50:36,88.74
R839726307,6060,SKU00119,1,changed_mind,2025-10-07T09:32:17,45.62
R978871535,6067,SKU00221,1,defect,2025-10-07T12:59:01,61.42
R548567686,6070,SKU00170,1,defect,2025-10-11T19:27:39,71.9
R461016402,6087,SKU00189,1,defect,2025-10-13T15:01:52,84.62
R79188677,6110,SKU00342,1,changed_mind,2025-10-07T19:02:25,83.79
R248307711,6123,SKU00222,1,defect,2025-10-06T15:52:33,98.18
R940559118,6165,SKU00027,1,changed_mind,2025-10-15T13:36:17,32.24
R713390835,6179,SKU00124,1,size,2025-10-12T11:20:39,64.32
R857241844,6184,SKU00016,1,changed_mind,2025-10-15T06:19:35,117.65
R5277796,6194,SKU00362,1,changed_mind,2025-10-13T14:23:43,63.18
R436807092,6207,SKU00329,1,size,2025-10-03T07:20:22,81.9
R250118958,6221,SKU00025,1,changed_mind,2025-10-08T07:36:40,113.72
R111722639,6227,SKU00167,1,changed_mind,2025-10-12T19:34:35,35.55
R727493201,6235,SKU00113,1,changed_mind,2025-10-16T04:54:24,47.1
R621350248,6266,SKU00298,1,size,2025-10-07T11:49:57,35.09
R395875923,6289,SKU00277,1,defect,2025-10-06T12:05:39,88.46
R810710943,6294,SKU00138,1,size,2025-10-12T18:07:05,46.02
R118454326,6313,SKU00308,1,changed_mind,2025-10-03T03:29:27,104.27
R14379909,6321,SKU00341,1,changed_mind,2025-10-12T05:03:14,102.03
R235639397,6357,SKU00355,1,defect,2025-10-15T14:26:46,28.44
R577364924,6361,SKU00106,1,changed_mind,2025-10-03T15:01:51,86.28
R112642731,6385,SKU00230,1,changed_mind,2025-10-10T14:46:21,118.7
R9931440,6412,SKU00117,1,changed_mind,2025-10-05T07:16:16,90.66
R601486444,6413,SKU00118,1,size,2025-10-13T11:57:02,90.77
R81878089,6440,SKU00339,1,changed_mind,2025-10-06T05:29:39,25.78
R216660923,6461,SKU00323,1,size,2025-10-15T12:35:17,54.09
R183156460,6496,SKU00305,1,changed_mind,2025-10-07T07:42:49,35.77
R413378571,6512,SKU00262,1,defect,2025-10-14T06:50:14,65.22
R27880116,6516,SKU00116,1,changed_mind,2025-10-04T15:43:59,81.2
R48404592,6543,SKU00016,1,changed_mind,2025-10-11T16:06:24,48.21
R826204301,6551,SKU00106,1,defect,2025-10-08T18:48:36,56.4
R363305463,6569,SKU00214,1,changed_mind,2025-10-05T20:07:36,76.31
R943022826,6598,SKU00155,1,changed_mind,2025-10-04T07:18:20,68.76
R220794476,6599,SKU00340,1,changed_mind,2025-10-03T18:21:33,47.01
R792650557,6613,SKU00279,1,defect,2025-10-14T05:28:28,59.05
R83356076,6651,SKU00331,1,size,2025-10-06T18:09:41,44.59
R348825363,6653,SKU00247,1,defect,2025-10-03T00:20:19,88.68
R791414197,6685,SKU00238,1,changed_mind,2025-10-14T21:02:27,87.63
R198327351,6710,SKU00184,1,size,2025-10-05T17:25:07,93.32
R511092577,6748,SKU00018,1,size,2025-10-04T20:53:04,26.12
R965579768,6749,SKU00067,1,changed_mind,2025-10-05T07:05:28,79.01
R825817327,6757,SKU00019,1,changed_mind,2025-10-13T06:30:15,106.07
R151149918,6778,SKU00096,1,changed_mind,2025-10-14T03:31:08,32.65
R794236086,6789,SKU00106,1,changed_mind,2025-10-07T18:16:43,29.15
R811462723,6811,SKU00028,1,defect,2025-10-02T17:37:36,46.65
R250519768,6843,SKU00243,1,changed_mind,2025-10-11T11:50:11,32.33
R409155008,6849,SKU00075,1,size,2025-10-11T05:01:06,102.81
R6638904,6871,SKU00286,1,changed_mind,2025-10-14T17:56:28,110.15
R530441024,6908,SKU00252,1,changed_mind,2025-10-07T23:11:54,29.96
R378308720,6962,SKU00207,1,defect,2025-10-10T13:50:28,71.91
R461619610,6996,SKU00065,1,defect,2025-10-07T19:31:47,45.58
R608589923,7005,SKU00122,1,size,2025-10-09T05:35:37,89.24
R923543137,7023,SKU00092,1,changed_mind,2025-10-08T01:46:37,61.27
R70625619,7036,SKU00194,1,size,2025-10-06T21:55:03,31.33
R838330921,7094,SKU00275,1,changed_mind,2025-10-04T17:49:15,83.01
R789115983,7100,SKU00346,1,defect,2025-10-03T12:26:16,30.49
R284463366,7141,SKU00255,1,changed_mind,2025-10-11T01:29:24,17.61
R927462391,7170,SKU00017,1,size,2025-10-08T06:41:17,92.75
R349753546,7195,SKU00283,1,size,2025-10-03T16:16:46,92.83
R324997091,7251,SKU00121,1,changed_mind,2025-10-11T16:43:02,83.9
R830073272,7257,SKU00032,1,size,2025-10-11T09:49:19,108.34
R926212364,7260,SKU00229,1,defect,2025-10-03T07:47:17,76.04
R818150024,7306,SKU00300,1,defect,2025-10-13T13:54:43,112.05
R70906473,7312,SKU00082,1,defect,2025-09-30T21:31:53,71.79
R793772982,7340,SKU00343,1,changed_mind,2025-10-01T09:22:05,72.7
R888591762,7350,SKU00236,1,defect,2025-10-11T04:14:59,46.96
R552056467,7393,SKU00080,1,size,2025-10-03T14:16:37,99.15
R786088492,7398,SKU00068,1,size,2025-10-02T20:07:04,16.85
R815665014,7436,SKU00341,1,changed_mind,2025-10-10T03:42:46,101.07
R72138854,7443,SKU00126,1,defect,2025-10-04T16:59:14,27.46
R51735786,7447,SKU00279,1,changed_mind,2025-10-11T12:38:17,117.53
R581068290,7475,SKU00364,1,size,2025-10-10T03:20:29,28.01
R572326748,7482,SKU00016,1,size,2025-10-12T23:36:18,82.74
R827017944,7516,SKU00210,1,changed_mind,2025-10-02T02:16:31,24.85
R206718613,7524,SKU00204,1,changed_mind,2025-10-06T19:26:56,115.66
R324526271,7539,SKU00189,1,changed_mind,2025-10-06T15:30:56,14.45
R552050127,7577,SKU00196,1,changed_mind,2025-10-06T20:37:48,93.87
R724470923,7588,SKU00330,1,size,2025-10-06T03:03:50,69.58
R149395851,7609,SKU00255,1,defect,2025-09-30T02:08:39,18.0
R323351394,7642,SKU00208,1,changed_mind,2025-10-06T00:55:26,69.12
R727612468,7659,SKU00146,1,size,2025-10-07T21:49:18,19.46
